,Country_Code,Internet_Usage_Percentage
4881,MNP,0.0
141,ASM,0.0
6640,TCA,0.0
5062,PLW,26.97033263
4846,PRK,0.0
1785,ECU,54.06292473
693,BTN,41.77264453
223,ATG,73.0
2469,GIB,94.44447158
3984,MDG,4.713662899
5581,VCT,20.68943522
6975,VEN,64.31336383
641,BEN,14.11901233
360,AUS,86.54504885
196,AGO,14.33907936
530,BRB,81.76077839
445,BHS,85.0
7033,OWID_WRL,48.9969115845464
335,ABW,97.17
7061,YEM,26.71835477
669,BMU,98.37
6947,VUT,25.71978784
6832,VIR,64.3774943
280,ARG,74.29490687
613,BLZ,47.0826258
21,AFG,11.44768809
168,AND,91.56746703
7118,ZWE,27.05548769
2158,FRO,97.58195894
2186,FJI,49.96637301
3483,LAO,25.51043508
2302,PYF,72.70389531
5785,SLE,13.23693043
2330,GAB,50.32012015
2358,GMB,19.83645444
5757,SYC,58.76981124
3683,LBN,78.18077489
1843,SLV,33.8207289
1870,GNQ,26.23999996
1894,ERI,1.30890698
3784,LIE,99.54661245
1952,SWZ,30.3
5986,ZAF,56.16739447
1980,ETH,18.61805145
5958,SOM,2.004048698
3760,LBY,21.75892062
3736,LBR,7.984479722
5931,SLB,11.92422906
3711,LSO,29.78780333
3457,KGZ,38.19903776
5146,PNG,11.20919659
3314,JOR,66.79031443
3257,JAM,55.07206705
5498,RWA,21.76763262
2803,HND,32.13636364
3399,KIR,14.58181818
5714,SEN,29.64312367
2446,GHA,37.88415262
2527,GRL,69.48246178
5656,STP,29.9312292
2555,GRD,59.07173536
5630,SMR,60.18230126
2583,GUM,80.50546556
2611,GTM,40.70304908
5608,WSM,33.61093932
2667,GNB,3.930509152
2690,GUY,37.32583679
5554,LCA,50.81524478
5526,KNA,80.71019081
4681,NCL,82.0058408
1208,CHL,82.32748693
6413,TZA,15.99999943
1236,CHN,54.3
4268,FSM,35.30405287
6385,TJK,21.96
4559,MMR,23.62108195
1180,TCD,6.49999812
1293,COM,8.478170295
6360,SYR,34.25340193
1321,COG,8.65
6634,TKM,21.25099741
822,VGB,77.70426829
6658,TUV,49.31833862
910,BFA,15.87620691
4709,NZL,90.81109307
4596,NRU,62.38512451
4411,MDA,76.12451989
4624,NPL,21.40351043
6549,TTO,77.32605293
993,CMR,23.20297197
1021,CAN,92.70137191
1048,CPV,57.16214635
6493,TGO,12.36022497
1095,CYM,81.06769325
1123,CAF,4.339254945
6465,TLS,27.49273173
4587,NAM,36.83740647
4435,MCO,97.05297684
6521,TON,41.24872764
4180,MRT,20.80096366
4535,MOZ,20.7740003
1589,DJI,55.68140925
1616,DMA,69.61966879
6137,LKA,34.1133479
6079,SSD,7.977428907
6246,SDN,30.87029573
1531,COD,8.619904916
6274,SUR,48.94517397
4153,MHL,38.70116262
4737,NIC,27.86304001
780,BWA,41.41379464
1443,CUW,68.12721625
4011,MWI,13.78216439
938,BDI,2.660748535
4097,MLI,12.72064096
4069,MDV,63.18566588
4794,NGA,7.469439317
6686,UGA,23.70653091
3229,ITA,74.38718292
3142,IRQ,75.00000131
3170,IRL,84.52230206
4875,MKD,79.16775519
3927,LUX,97.06129871
135,DZA,49.03846808
4766,NER,5.250487687
7090,ZMB,14.2999971
3401,OWID_KOS,89.44303197
3286,JPN,91.28160849
6919,UZB,55.20000067
3118,IRN,70.00455222
1645,DOM,74.82428986
417,AZE,79.79999549
6804,USA,88.49890317
722,BOL,44.28614216
809,BRA,70.43428254
966,KHM,40.5459865
2718,HTI,32.47362713
2640,GIN,21.83002304
6715,UKR,62.55315539
309,ARM,68.24505226
3059,IND,20.08130004
3030,ISL,99.01095399
4210,MUS,63.99989817
6332,CHE,93.14608695
5471,RUS,82.64216187
752,BIH,69.94634763
1381,CIV,36.45378947
5235,PHL,43.02661187
587,BEL,90.37051309
1411,HRV,79.07978368
4127,MLT,85.77859638
6303,SWE,94.49344341
3089,IDN,47.69064898
2863,HUN,80.37169361
4477,MNE,73.47666575
1351,CRI,81.20259644
5381,PRI,70.8743212
4240,MEX,70.06991047
6745,ARE,99.14999796
882,BGR,67.94698094
6579,TUN,66.6999983
5411,QAT,99.65280421
3200,ISR,86.78787762
6443,THA,66.65241317
5265,POL,84.51645192
1441,CUB,61.83630006
4654,NLD,93.2885906
852,BRN,95.0
1266,COL,65.00690072
5295,PRT,75.34637155
6775,GBR,92.51662855
5441,ROU,73.65748258
6609,TUR,73.97670403
4461,MNG,51.07999408
390,AUT,87.75220479
2833,HKG,91.74340039
4969,OMN,92.40844424
2418,DEU,88.13451691
3628,LVA,86.13545644
5875,SVN,83.1083578
5730,SRB,77.41677362
5845,SVK,82.8536605
5053,PAK,17.07090203
3431,KWT,99.54267645
2216,FIN,89.60738511
4507,MAR,74.37631447
5815,SGP,88.94925269
5118,PAN,63.62841477
5088,PSE,70.62260685
6890,URY,76.94955197
2388,GEO,68.84671356
3373,KEN,22.56511937
2010,,86.6883617185499
5686,SAU,95.7247356
557,BLR,82.78915209
4041,MYS,84.21322418
2274,FRA,83.33974409
1503,CZE,80.86694441
1561,DNK,98.04643475
3957,MAC,86.46792571
6109,ESP,90.71866533
6074,KOR,96.15758265
3344,KAZ,81.87762554
2499,GRC,75.67120669
502,BGD,12.9
1815,EGY,57.28286878
5176,PRY,68.51762842
4911,NOR,98.00000439
3814,LTU,81.58186838
106,ALB,69.64285467
475,BHR,99.70150438
7005,VNM,68.7
1924,EST,89.53232756
1473,CYP,86.06362996
5206,PER,59.9505036
